<TICKER>,<PER>,<DATE>,<TIME>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB_TOM,D,20110504,000000,27.4124,27.1699,27.1699,4187567000
USDRUB_TOM,D,20110505,000000,27.46,27.195,27.41,6566869000
USDRUB_TOM,D,20110506,000000,27.8375,27.5967,27.705,6423069000
USDRUB_TOM,D,20110510,000000,27.9574,27.6905,27.7476,4443404000
USDRUB_TOM,D,20110511,000000,27.69,27.5865,27.66,4341860000
USDRUB_TOM,D,20110512,000000,28.08,27.87,28.03,6014179000
USDRUB_TOM,D,20110513,000000,27.9535,27.78,27.94,4171920000
USDRUB_TOM,D,20110516,000000,28.235,28.0002,28.18,3957675000
USDRUB_TOM,D,20110517,000000,28.24,28.0751,28.235,3636097000
USDRUB_TOM,D,20110518,000000,28.1,27.96,28.085,4349783000
USDRUB_TOM,D,20110519,000000,28.055,27.9252,27.9952,5080272000
USDRUB_TOM,D,20110520,000000,28.0449,27.75,28.025,3447729000
USDRUB_TOM,D,20110523,000000,28.5425,28.2925,28.5,5002008000
USDRUB_TOM,D,20110524,000000,28.5149,28.3525,28.3575,3703153000
USDRUB_TOM,D,20110525,000000,28.53,28.4169,28.4551,3882351000
USDRUB_TOM,D,20110526,000000,28.3025,28.1525,28.1799,4178835000
USDRUB_TOM,D,20110527,000000,28.1675,27.99,28.04,3665034000
USDRUB_TOM,D,20110530,000000,28.09,28.005,28.0775,2238037000
USDRUB_TOM,D,20110531,000000,28.0325,27.93,27.985,4243593000
USDRUB_TOM,D,20110601,000000,28.0049,27.8825,27.915,3598176000
USDRUB_TOM,D,20110602,000000,28.129,27.8999,27.9147,3060027000
USDRUB_TOM,D,20110603,000000,27.9726,27.85,27.94,3181297000
USDRUB_TOM,D,20110606,000000,27.8625,27.75,27.825,3047993000
USDRUB_TOM,D,20110607,000000,27.8404,27.7025,27.7226,2991547000
USDRUB_TOM,D,20110608,000000,27.7772,27.6601,27.7475,4188445000
USDRUB_TOM,D,20110609,000000,27.7725,27.6401,27.76,3429577000
USDRUB_TOM,D,20110610,000000,27.86,27.76,27.8375,3493394000
USDRUB_TOM,D,20110614,000000,27.9475,27.8475,27.8799,2464892000
USDRUB_TOM,D,20110615,000000,27.9999,27.8231,27.985,3599225000
USDRUB_TOM,D,20110616,000000,28.2824,28.16,28.1821,4467638000
USDRUB_TOM,D,20110617,000000,28.228,28,28.055,3733352000
USDRUB_TOM,D,20110620,000000,28.205,28.1175,28.1424,2419573000
USDRUB_TOM,D,20110621,000000,28.055,27.9451,27.955,3140395000
