Figure 1: StreetLight AADT 2020 for test data compared to permanent counter 2020 AADT (U.S.). No outliers were removed.
Correlation between StreetLight AADT 2020 Estimates and Permanent Counter AADT 2020 Values
x: Actual AADT 2020
y: StreetLight Estimated AADT 2020
R^2 = 0.9802
actual	estimated
31.6018	31.1085
6.22198	6.22176
9.36988	10.7785
7.59919	8.32485
61.31	64.4078
13.895	13.2321
65.0481	61.6036
114.627	116.635
117.972	115.583
77.4429	93.1503
113.447	87.1915
148.467	144.677
31.2083	32.1601
30.0279	28.6549
73.1145	78.4285
43.9966	43.7272
27.2735	25.5002
121.12	115.934
119.349	116.986
6.61547	6.92275
12.321	11.4795
41.2422	37.7684
13.3047	14.6341
10.3536	11.4795
33.1758	34.9643
13.108	14.6341
26.093	28.6549
41.439	44.0777
23.9288	23.0466
7.00896	7.27327
9.9601	11.129
109.118	106.47
34.1595	36.3663
47.1445	41.2736
10.9438	11.4795
7.79592	6.92275
58.3588	64.0573
33.5692	37.0674
30.8148	30.758
9.9601	11.129
60.7197	56.6964
46.1608	44.4283
37.5041	39.521
42.8161	51.4386
36.5204	38.1189
28.0604	28.3044
173.847	148.532
12.1243	12.5311
19.6005	18.1394
19.6005	22.6961
24.5191	27.6033
15.4689	12.1805
11.7308	11.8301
12.321	12.5311
7.00896	6.57222
42.4227	44.7787
35.3399	36.0158
20.781	20.2425
19.4037	19.892
5.43502	6.92275
19.994	23.3971
32.192	36.3663
7.00896	6.92275
7.99267	7.97433
27.4702	27.6033
10.1568	9.72689
24.3223	24.0981
20.3875	21.6445
11.9275	11.129
27.667	25.5002
25.1093	23.0466
11.534	12.8816
18.8135	19.892
41.0455	45.8303
91.0181	87.8925
9.36988	12.1805
40.0617	46.5314
52.85	54.2428
20.3875	19.892
19.6005	17.7888
161.452	155.893
22.1581	23.7477
11.1405	9.37643
15.4689	14.9847
7.00896	9.72689
10.7471	11.129
2.68062	2.01551
4.05782	4.1186
1.10668	1.31446
4.84479	4.81966
1.50016	1.66498
2.87735	2.01551
7.99267	6.22176
5.04153	3.76814
1.89364	1.66498
0.516448	0.963931
1.50016	2.01551
7.59919	5.52071
2.48387	2.71656
3.66433	4.1186
2.48387	2.71656
2.87735	3.06709
3.27084	3.41755
3.0741	3.06709
2.28714	2.36604
3.27084	3.06709
1.6969	1.66498
1.6969	1.66498
3.0741	3.41755
1.30341	1.31446
0.516448	0.613472
3.0741	2.01551
7.40244	7.27327
1.30341	0.963931
6.41873	4.81966
0.3197	0.613472
2.87735	3.06709
5.23827	4.81966
0.713186	0.613472
2.48387	2.36604
7.59919	7.6238
2.09039	2.36604
6.81221	6.22176
4.45131	2.71656
1.30341	1.31446
1.30341	2.01551
1.10668	1.31446
2.87735	2.71656
2.09039	2.01551
4.45131	4.46913
4.25456	3.41755
1.50016	1.31446
2.09039	1.66498
6.22198	5.17018
2.09039	2.01551
1.30341	0.963931
2.68062	3.06709
1.6969	2.36604
1.6969	2.36604
3.0741	3.06709
2.28714	3.06709
8.77965	5.52071
11.9275	9.72689
3.46758	3.41755
9.17313	7.97433
1.89364	1.66498
4.25456	3.06709
4.84479	5.52071
6.81221	6.22176
0.3197	0.613472
7.00896	7.27327
5.43502	3.76814
5.8285	4.1186
5.23827	4.46913
3.46758	3.41755
1.50016	1.31446
3.27084	2.36604
7.00896	8.32485
7.40244	8.32485
2.28714	3.06709
7.99267	8.67538
3.0741	3.41755
6.02525	8.32485
1.10668	1.31446
0.3197	0.963931
6.02525	7.27327
6.41873	8.32485
3.86108	3.76814
2.28714	3.06709
0.516448	0.262878
224.016	236.512
222.836	196.203
146.106	154.491
22.9451	16.0362
11.9275	12.8816
137.253	155.543
29.4376	27.9539
153.189	125.748
65.2448	58.7995
77.6396	84.0368
75.4755	71.7687
29.2409	28.3044
11.7308	8.67538
105.38	95.9545
60.3263	53.5417
5.8285	6.22176
12.7145	14.2837
7.40244	5.87117
32.5855	29.356
86.493	86.841
9.56661	8.32485
24.9126	23.7477
8.97639	7.97433
17.0428	16.7373
24.5191	21.2941
22.3549	22.6961
48.5217	62.6552
4.64804	5.87117
18.0266	21.2941
23.9288	21.6445
46.9477	47.2324
4.84479	6.22176
15.4689	17.4383
13.5015	13.2321
60.9165	64.4078
28.8474	26.2013
49.7022	46.8819
18.42	18.4899
75.869	73.8718
13.108	17.4383
26.88	27.9539
40.4552	52.8406
11.1405	13.5826
30.8148	35.6653
9.9601	12.5311
7.99267	6.92275
10.3536	12.5311
45.7673	48.2839
38.0943	34.9643
15.2722	14.9847
111.086	108.924
13.5015	13.5826
17.0428	19.892
17.2396	16.7373
8.97639	9.72689
5.04153	6.22176
9.17313	7.97433
10.1568	8.67538
9.76336	9.02584
21.1744	18.1394
4.84479	5.52071
43.6031	51.7891
36.1269	33.5622
15.4689	16.3868
41.439	38.4694
43.4064	41.2736
142.762	123.996
124.464	124.346
65.2448	66.8614
107.545	89.9957
28.4539	27.9539
69.1797	66.8614
14.6819	13.2321
35.5367	33.5622
78.8201	83.3358
13.108	13.2321
22.1581	19.5414
18.6168	16.0362
31.7986	27.9539
26.4865	24.4487
28.4539	26.9024
17.0428	19.1909
123.087	126.8
50.0956	56.6964
43.0129	43.3767
5.04153	6.57222
33.3725	37.4179
113.644	116.635
24.7158	25.8508
18.2233	18.4899
27.0767	25.5002
31.9953	31.4591
27.4702	27.6033
40.2585	41.9746
34.7497	31.8096
14.4852	14.2837
5.43502	5.17018
34.9464	35.3147
32.979	33.5622
109.709	106.47
14.4852	14.2837
112.463	101.212
74.6885	80.5316
31.9953	32.5106
132.334	115.233
142.565	141.872
29.0442	29.356
159.091	152.738
15.6656	18.1394
33.1758	27.6033
30.2246	27.9539
7.40244	7.97433
103.216	71.7687
14.4852	10.4279
9.36988	9.37643
15.6656	15.3352
62.2937	44.0777
12.7145	15.6857
14.6819	14.9847
21.9614	23.0466
92.0019	88.9441
46.5543	48.6345
30.0279	25.8508
7.59919	8.32485
122.694	110.676
23.5354	23.0466
45.1771	47.583
17.8298	20.9435
13.5015	13.5826
9.36988	15.3352
14.4852	12.5311
14.2885	13.5826
19.6005	20.2425
14.0917	14.9847
70.1634	66.8614
13.108	14.2837
24.5191	24.4487
29.2409	27.2528
18.0266	16.7373
30.4213	31.1085
31.6018	31.1085
18.0266	16.7373
26.4865	27.9539
13.108	16.3868
21.1744	23.3971
21.1744	18.8404
24.5191	23.3971
152.599	154.141
9.76336	11.4795
51.2761	54.2428
11.534	11.129
71.1471	70.0161
35.3399	29.7064
86.2963	87.542
166.764	154.842
207.687	179.728
161.452	157.646
6.61547	6.92275
9.76336	8.67538
6.81221	6.92275
8.97639	8.32485
4.45131	5.87117
2.48387	3.06709
4.25456	5.17018
4.64804	5.17018
1.89364	2.36604
4.64804	2.71656
3.0741	3.76814
1.10668	2.01551
4.64804	5.17018
8.77965	6.92275
8.97639	6.92275
7.99267	9.37643
4.45131	4.1186
6.41873	6.92275
1.89364	1.31446
2.09039	2.01551
2.68062	2.71656
2.68062	3.76814
2.68062	3.06709
1.89364	2.36604
1.89364	2.36604
1.6969	1.66498
1.10668	1.31446
5.43502	5.52071
3.86108	4.81966
2.09039	2.01551
0.3197	0.262878
0.713186	0.963931
0.713186	0.963931
0.909933	0.963931
4.25456	4.1186
2.87735	3.41755
4.25456	4.46913
1.30341	1.31446
2.09039	2.01551
7.99267	7.97433
0.909933	0.963931
2.87735	2.71656
0.516448	0.613472
4.05782	4.81966
5.04153	4.46913
9.76336	7.6238
0.3197	0.613472
1.10668	2.01551
4.64804	3.41755
7.20571	5.87117
4.05782	3.76814
3.66433	4.81966
2.28714	2.01551
2.48387	1.31446
2.09039	2.01551
10.1568	6.92275
3.66433	3.76814
0.713186	0.963931
5.04153	4.81966
1.30341	0.963931
0.3197	0.613472
0.909933	1.31446
1.89364	2.36604
2.68062	3.41755
1.6969	2.01551
1.10668	0.963931
9.9601	6.57222
1.10668	0.963931
9.9601	4.81966
1.6969	1.66498
6.81221	6.92275
5.8285	5.17018
7.40244	7.27327
1.6969	2.71656
5.04153	4.81966
2.48387	2.36604
4.64804	3.41755
5.63176	6.22176
2.48387	2.36604
3.86108	4.1186
2.09039	1.66498
1.50016	2.01551
1.30341	2.36604
1.89364	1.66498
7.59919	6.57222
1.10668	1.66498
1.6969	1.66498
189.193	214.43
132.137	152.388
138.236	134.862
67.6058	68.9645
18.2233	19.1909
20.781	23.0466
45.964	44.4283
14.4852	14.9847
124.071	113.13
98.6911	100.511
78.4266	74.2223
89.8377	104.367
78.8201	82.2842
113.053	116.635
31.9953	30.4075
22.3549	20.9435
17.2396	17.0878
22.7484	26.9024
29.6344	30.4075
145.909	150.986
161.452	173.419
26.88	25.8508
32.7823	24.4487
18.0266	13.9331
20.1907	23.0466
124.464	80.5316
20.781	18.4899
46.9477	43.7272
21.5679	11.4795
106.167	121.542
60.9165	60.5521
70.3601	69.3151
51.4729	46.5314
49.5054	51.7891
9.17313	8.32485
7.40244	7.6238
24.1256	24.4487
13.3047	10.7785
7.00896	6.22176
25.1093	23.7477
6.81221	6.92275
4.84479	5.52071
14.0917	13.2321
43.2096	40.5726
31.6018	29.356
19.994	23.7477
23.9288	24.0981
14.4852	55.6449
100.068	99.8101
5.63176	5.87117
7.40244	6.22176
22.9451	23.7477
8.5829	10.7785
24.3223	26.5518
18.42	16.7373
