"tovar_usluga,""period"",""id_indicator"",""territory"",""territory_type"",""territory.ccube.0"",""territory.ccube.1"",""territory.ccube.2"",""territory.ccube.3"",""territory.ccube.4"",""territory.ccube.5"",""territory.ccube.6"",""territory.ccube.7"",""value"""
"1102,""31 Dec 2019"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""275.86"""
"1102,""31 May 2020"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""283.19"""
"1102,""30 Jun 2020"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""283.39"""
"1102,""31 Oct 2020"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""282.62"""
"1102,""31 Jul 2020"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""283.93"""
"1102,""31 Aug 2020"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""283.99"""
"1102,""30 Sep 2020"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""282.51"""
"1102,""30 Apr 2020"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""285.27"""
"1102,""28 Feb 2021"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""289.62"""
"1102,""31 May 2021"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""293.94"""
"1102,""30 Apr 2021"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""293.47"""
"1102,""31 Mar 2021"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""292.08"""
"1102,""30 Nov 2020"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""284.42"""
"1102,""31 Dec 2020"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""287"""
"1102,""30 Jun 2021"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""295.15"""
"1102,""31 Jan 2021"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""288.68"""
"1102,""31 Jul 2021"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""297.07"""
"1102,""31 Aug 2021"",""1306"",""45000000"",""3"",""643"",""30"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""45000000"",""295.74"""
